# Nomina de emisores de valores de la CMF.
# fuente: https://www.cmfchile.cl/institucional/mercados/descargar_consulta?mercado=V&Estado=TO&entidad=RVEMI
# descargado: 2026-09-22
# filas: 1138
rut,dv,nombre,estado
7014,9,FONDO DE INVERSION INDEPENDENCIA RENTAS INMOBILIARIAS,Vigente
7224,9,BTG PACTUAL RENTA COMERCIAL FONDO DE INVERSIÓN,Vigente
9069,7,FONDO DE INVERSIÓN ASSET RENTAS RESIDENCIALES,Vigente
9082,4,FONDO DE INVERSIÓN ACTIVA DEUDA HIPOTECARIA CON SUBSIDIO HABITACIONAL II,Vigente
59123340,8,AMERICA MOVIL S.A.B. DE C.V.,Vigente
59175530,7,"CORPORACION GEO, S.A.B. DE C.V.",Vigente
59181460,5,BANCO PINE S.A.,No Vigente
59195600,0,"THE GOLDMAN SACHS GROUP, INC.",Vigente
59500004,1,MOLINOS DE CHILE Y RIO DE LA PLATA HOLDING S.A.,No Vigente
59500005,K,SCF CHILE S.A. EN LIQUIDACION,No Vigente
59500006,8,BSSF CHILE S.A. EN LIQUIDACION,No Vigente
59500007,6,BSSFP CHILE S.A. EN LIQUIDACION,No Vigente
59500008,4,GRUPO SANBORNS INTERNACIONAL S.A.,No Vigente
59500009,2,HAN S.A.,No Vigente
59500012,2,INVERSORA ANDINA S.A.,No Vigente
60503000,9,EMPRESA DE CORREOS DE CHILE,Vigente
60714000,6,EMPRESA NACIONAL DE COMP. E INFORMATICA,No Vigente
61113000,7,EMPRESA NACIONAL DE AERONAUTICA DE CHILE,Vigente
61214000,6,EMPRESA MARITIMA S.A.,No Vigente
61216000,7,EMPRESA DE LOS FERROCARRILES DEL ESTADO,Vigente
61219000,3,EMPRESA DE TRANSPORTE DE PASAJEROS METRO S.A.,Vigente
61604000,6,POLLA CHILENA DE BENEFICENCIA S.A.,No Vigente
61703000,4,EMPRESA NACIONAL DE MINERIA,Vigente
61704000,K,CORPORACION NACIONAL DEL COBRE DE CHILE,Vigente
61808000,5,AGUAS ANDINAS S.A.,Vigente
61945700,5,EMPRESA PORTUARIA ARICA,No Vigente
61946300,5,EMPRESA PORTUARIA COQUIMBO,No Vigente
61950900,5,EMPRESA PORTUARIA PUERTO MONTT,No Vigente
61951300,2,EMPRESA PORTUARIA IQUIQUE,No Vigente
61952700,3,EMPRESA PORTUARIA VALPARAISO,No Vigente
61956700,5,EMPRESA PORTUARIA AUSTRAL,No Vigente
61959100,3,EMPRESA PORTUARIA CHACABUCO,No Vigente
61960100,9,EMPRESA PORTUARIA SAN ANTONIO,No Vigente
61960300,1,EMPRESA PORTUARIA TALCAHUANO SAN VICENTE,No Vigente
70016160,9,CAJA DE COMPENSACION DE ASIGNACION FAMILIAR LA ARAUCANA,Vigente
70016330,K,CAJA DE COMPENSACION DE ASIGNACION FAMILIAR LOS HEROES,Vigente
70285500,4,ZONA FRANCA DE IQUIQUE S.A.,Vigente
70893100,4,SOCIEDAD ANONIMA DE DEPORTES CASCADA DE EL SALTO,Vigente
71518000,6,CLUB DE POLO Y EQUITACION SAN CRISTOBAL S.A.,Vigente
73968300,9,EMPRESA PORTUARIA ANTOFAGASTA,No Vigente
76000739,0,ESVAL S.A.,Vigente
76002293,4,SANTANDER CONSUMER FINANCE LIMITADA,Vigente
76002733,2,ECLA INTERNATIONAL S.A.,No Vigente
76003557,2,AUSTRALIS SEAFOODS S.A.,No Vigente
76005001,6,BUPA CHILE S.A.,No Vigente
76005049,0,"ECHEVERRIA, IZQUIERDO S.A.",Vigente
76005353,8,INVERSIONES BAQUIO LIMITADA,No Vigente
76006807,1,SOCIEDAD CONCESIONARIA AEROTAS S.A.,No Vigente
76007675,9,SUPERMERCADOS DEL SUR S.A.,No Vigente
76009328,9,ENLASA GENERACION CHILE S.A.,Vigente
76009779,9,SOCIEDAD CONCESIONARIA AEROPUERTO PUERTO MONTT S.A.,No Vigente
76011560,6,CASINO GRAN OVALLE S.A.,No Vigente
76012676,4,SMU S.A.,Vigente
76015714,7,ADMINISTRADORA ZEUS CAPITAL S.A.,No Vigente
76016541,7,INGEVEC S.A.,Vigente
76017019,4,PLAZA S.A.,Vigente
76020091,3,EQUITAS MANAGEMENT PARTNERS S.A.,No Vigente
76020458,7,EMPRESAS RED SALUD S.A.,Vigente
76022072,8,INVERSIONES ELECTRICAS DEL SUR S.A.,Vigente
76022805,2,BANCOESTADO CAPITAL DE RIESGO S.A.,No Vigente
76023435,4,INVERSIONES SOUTHWATER LIMITADA,Vigente
76030156,6,AGUAS NUEVAS S.A.,No Vigente
76033448,0,SOCIEDAD CONCESIONARIA AMB S.A.,No Vigente
76033506,1,SENTOSA INVESTMENTS S.A.,No Vigente
76033514,2,DREAMS S.A.,Vigente
76035178,4,GAP INTERNATIONAL HOLDING SOCIEDAD ANONIMA,No Vigente
76035873,8,VICTORIA CAPITAL MANAGEMENT S.A.,No Vigente
76038659,6,AGUAS NUEVAS S.A.,No Vigente
76039865,9,SOCIEDAD CONCESIONARIA AUTOPISTA COSTA ARAUCO S.A.,No Vigente
76041891,9,AYSEN TRANSMISION S.A.,No Vigente
76042014,K,WALMART CHILE S.A.,No Vigente
76042210,K,EPG PARTNERS S.A.,No Vigente
76045822,8,BCP EMISIONES LATAM 1 S.A.,No Vigente
76046791,K,EDELNOR TRANSMISION S.A.,No Vigente
76048177,7,AURUS CAPITAL S.A.,No Vigente
76051174,9,SOCIEDAD CONCESIONARIA RUTA G-60 S.A.,No Vigente
76051386,5,ADMINISTRADORA MATER S.A.,No Vigente
76052927,3,SOCIEDAD CONCESIONARIA AUTOPISTA NUEVA VESPUCIO SUR S.A.,Vigente
76053855,8,VISUAL LATINA CORPORATION S.A.,No Vigente
76054764,6,SOCIEDAD CONCESIONARIA VALLES DEL DESIERTO S.A.,No Vigente
76058352,9,VIVO SPA,Vigente
76064616,4,LATITUD SUR S.A.,No Vigente
76065596,1,SALMONES CAMANCHACA S.A.,Vigente
76071048,2,BUSES VULE S.A.,No Vigente
76072469,6,CRUZADOS S.A.D.P.,Vigente
76072489,0,LARRAIN VIAL GESTORA DE INVERSIONES S.A.,No Vigente
76073162,5,SOCIEDAD AUSTRAL DE ELECTRICIDAD S.A.,Vigente
76073164,1,EMPRESA ELECTRICA DE LA FRONTERA S.A.,Vigente
76079624,7,ASEGURADORA MAGALLANES DE GARANTIA Y CREDITO S.A.,No Vigente
76082113,6,SOCIEDAD CONCESIONARIA SAN JOSE-TECNOCONTROL S.A.,No Vigente
76085254,6,EMPRESA ELECTRICA COCHRANE SPA,No Vigente
76096382,8,CASABLANCA GENERACION S.A. EN LIQUIDACION,No Vigente
76100458,1,"BANCO LATINOAMERICANO DE COMERCIO EXTERIOR, S.A.",No Vigente
76102955,K,SOPROLE INVERSIONES S.A.,Vigente
76109779,2,MELON S.A.,No Vigente
76115132,0,CANAL 13 S.A.,No Vigente
76116242,K,CFR PHARMACEUTICALS S.A.,No Vigente
76120857,8,GLOBAL SOLUCIONES FINANCIERAS S.A.,Vigente
76124890,1,TELEFONICA MOVILES CHILE S.A.,Vigente
76129263,3,EMPRESAS AGROSUPER S.A.,Vigente
76139506,8,AUTOFIN S.A.,Vigente
76141388,0,FONDO ESPERANZA SPA,Vigente
76143636,8,CAROZZI S.A.,Vigente
76148326,9,BANAGRO S.A.,Vigente
76153208,1,HOLDCO II S.A.,No Vigente
76163495,K,ELECTROLUX DE CHILE S.A.,No Vigente
76165311,3,POTASIOS INVESTMENTS S.A.,Vigente
76166816,1,SOCIEDAD CONCESIONARIA NUEVA VESPUCIO NORTE EXPRESS S.A.,Vigente
76172397,9,SOCIEDAD CONCESIONARIA RUTAS DEL DESIERTO S.A.,No Vigente
76175211,1,AXXDOS S.A.,No Vigente
76184068,1,NITRATOS DE CHILE S.A.,No Vigente
76187228,1,CELEO REDES OPERACION CHILE S.A.,Vigente
76188962,1,AGUAS NUEVAS S.A.,No Vigente
76196718,5,SOCIEDAD MATRIZ SAAM S.A.,Vigente
76197101,8,CBP FINANCIA CAPITAL FACTORING S.A.,Vigente
76199530,8,INVERSIONES ELECTRICAS DEL SUR DOS LIMITADA,No Vigente
76202885,9,INVERSIONES MAGALLANES S.A.,No Vigente
76213076,9,SOCIEDAD CONCESIONARIA RUTA DEL ALGARROBO S.A.,Vigente
76215628,8,AGUAS MAGALLANES S.A.,Vigente
76215634,2,AGUAS DEL ALTIPLANO S.A.,Vigente
76215637,7,AGUAS ARAUCANIA S.A.,Vigente
76238714,K,GAMA SERVICIOS FINANCIEROS S.A.,Vigente
76240079,0,ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.,Vigente
76248064,6,BETLAN DOS S.A.,No Vigente
76265736,8,ADMINISTRADORA DE FONDOS DE PENSIONES PROVIDA S.A.,Vigente
76266594,8,EMPRESAS TRICOT S.A.,Vigente
76275453,3,TECH PACK S.A.,No Vigente
76284251,3,ATTON HOTELES S.A.,No Vigente
76293740,9,CASINO DE JUEGO DE TALCA S.A.,No Vigente
