# Nombre legal de cada LEI del warehouse, segun GLEIF.
# fuente: https://api.gleif.org/api/v1/lei-records
# consultado: 2026-09-24
lei,estado_lei,nombre_legal,pais,categoria,estado_entidad
0,INVALIDO,,,,
213800CG3COJ5V9EUX29,ISSUED,BANK OF NOVA SCOTIA GLOBAL EMPLOYEE SHARE OWNERSHIP PLAN EMPLOYEE BENEFIT TRUST,GG,GENERAL,ACTIVE
213800UUGANOMFJ9X769,ISSUED,BARCLAYS BANK UK PLC,GB,GENERAL,ACTIVE
276345HYMX591FE8F735,ISSUED,STANDARD CHARTERED BANK,QA,BRANCH,ACTIVE
3YJP8HORPAEXJ80D6368,ISSUED,BANCO SANTANDER CHILE,CL,GENERAL,ACTIVE
54930018SOOHBHRLWC16,ISSUED,SCOTIABANK CHILE,CL,GENERAL,ACTIVE
54930036B12A3G2SIW61,LAPSED,"CREDIVALORES-CREDISERVICIOS, S.A.S.",GB,GENERAL,ACTIVE
5493004R4EJC0W0XVQ72,ISSUED,BANCO DEL ESTADO DE CHILE,CL,GENERAL,ACTIVE
5493006QMFDDMYWIAM13,ISSUED,BANCO SANTANDER S.A.,ES,GENERAL,ACTIVE
549300818FWC2UB73V44,ISSUED,HSBC BANK (CHILE),CL,GENERAL,ACTIVE
549300AZCWF9DX4IYK18,ISSUED,PHILLIP CAPITAL INC.,US,GENERAL,ACTIVE
549300DDPTTIZ06NIV06,ISSUED,Banco Itau Chile,CL,GENERAL,ACTIVE
549300E9E5Y3PKW24142,ISSUED,BANCO DE CREDITO E INVERSIONES,CL,GENERAL,ACTIVE
549300GZLN4QH0YBEL90,ISSUED,BANCO BICE,CL,GENERAL,ACTIVE
549300JGIJIWD1F37S39,ISSUED,BANCO FALABELLA,CL,GENERAL,ACTIVE
549300K8R9VXUE545U04,ISSUED,CITIBANK NMTC CORPORATION,US,GENERAL,ACTIVE
549300MQDUNHX6LKIG35,LAPSED,"JPMorgan Chase Bank, N.A. Securities Lending Cash Collateral Fund",US,FUND,ACTIVE
549300PN7XQ5V4C0HL57,RETIRED,Banco Itaú Chile S.A.,CL,GENERAL,INACTIVE
549300QPI6J16OMO1120,RETIRED,BANCO SECURITY,CL,GENERAL,INACTIVE
789000P2WJJ9BEC88Q82,ISSUED,PHİLLİPCAPİTAL MENKUL DEĞERLER ANONİM ŞİRKETİ,TR,GENERAL,ACTIVE
7H6GLXDRUGQFU57RNE97,ISSUED,"JPMorgan Chase Bank, National Association",US,GENERAL,ACTIVE
7LTWFZYICNSX8D621K86,ISSUED,DEUTSCHE BANK AKTIENGESELLSCHAFT,DE,GENERAL,ACTIVE
8B4EZFY8IHJC44TT2K84,ISSUED,BANCO DE CHILE,CL,GENERAL,ACTIVE
B4TYDEB6GKMZO031MB27,ISSUED,"Bank Of America, National Association",US,GENERAL,ACTIVE
E57ODZWZ7FF32TWEFA76,ISSUED,"Citibank, National Association",US,GENERAL,ACTIVE
EFCGHQN14L2BKODNPK19,ISSUED,GOLDMAN SACHS INTERNATIONAL HOLDINGS LLC,US,GENERAL,ACTIVE
G5GSEF7VJP5I7OUK5573,ISSUED,BARCLAYS BANK PLC,GB,GENERAL,ACTIVE
GGDZP1UYGU9STUHRDP48,ISSUED,MERRILL LYNCH INTERNATIONAL,GB,GENERAL,ACTIVE
I7331LVCZKQKX5T7XV54,ISSUED,MORGAN STANLEY CAPITAL SERVICES LLC,US,GENERAL,ACTIVE
K8MS7FD7N5Z2WQ51AZ71,ISSUED,BANCO BILBAO VIZCAYA ARGENTARIA SOCIEDAD ANONIMA,ES,GENERAL,ACTIVE
KD3XUN7C6T14HNAYLU02,ISSUED,Goldman Sachs Bank USA,US,GENERAL,ACTIVE
KD3XUN7C6T14HNAYLU03,INVALIDO,,,,
KD3XUN7C6T14HNAYLU04,INVALIDO,,,,
KD3XUN7C6T14HNAYLU05,INVALIDO,,,,
L3I9ZG2KFGXZ61BMYR72,ISSUED,THE BANK OF NOVA SCOTIA,CA,GENERAL,ACTIVE
MP6I5ZYZBEU3UXPYFY54,ISSUED,HSBC BANK PLC,GB,GENERAL,ACTIVE
N9FYJ29MC81JI74MJE92,ISSUED,GOLDMAN SACHS INTERNATIONAL BANK,GB,GENERAL,ACTIVE
N9FYJ29MC81JI74MJE93,INVALIDO,,,,
N9FYJ29MC81JI74MJE94,INVALIDO,,,,
N9FYJ29MC81JI74MJE95,INVALIDO,,,,
N9FYJ29MC81JI74MJE96,INVALIDO,,,,
N9FYJ29MC81JI74MJE97,INVALIDO,,,,
N9FYJ29MC81JI74MJE98,INVALIDO,,,,
R0MUWSFPU8MPRO8K5P83,ISSUED,BNP PARIBAS,FR,GENERAL,ACTIVE
TVJ8SHLIZL0RGWGDTN03,ISSUED,"SMBC CAPITAL MARKETS, INC.",US,GENERAL,ACTIVE
